,Unnamed: 0,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,invoice,invoice date,invoice dt,due date,date,dated,invoice x,invoice date x,invoice dt x,due date x,date x,dated x,invoice y,invoice date y,invoice dt y,due date y,date y,dated y,NX,NY,imageName,output
112,260,9/30/2022 ,0.3235175473981444,0.2092360319270239,3508,2479,0,0,0,0,1,1,1,0,1,1,0.1206131504638967,0.1206131504638967,0.1206131504638967,0.0,0.1407825736183945,0.1407825736183945,0.1701824401368301,0.1701824401368301,0.1701824401368301,0.0,0.2072405929304447,0.2072405929304447,0.6434045986284792,0.9250285062713796,31,0
113,153,13/jan/23 ,0.1546516310914216,0.5986316989737742,3508,2483,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
114,152,13/jan/23,0.1546516310914216,0.5986316989737742,3508,2483,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
115,58,21-mar-2023 ,0.1968535699878983,0.1479475484606613,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.099233561920129,0.099233561920129,0.0,0.0,0.0,0.0,0.1473774230330672,0.1473774230330672,0.1984671238402581,0.2947548460661345,34,1
116,57,21-mar-2023,0.1968535699878983,0.1479475484606613,3508,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.099233561920129,0.099233561920129,0.0,0.0,0.0,0.0,0.1473774230330672,0.1473774230330672,0.1984671238402581,0.2947548460661345,34,1
117,142,billing from: 01.nov 2022 ,0.7694117647058824,0.3163636363636363,3300,2550,0,0,0,0,1,1,1,0,0,0,0.5650980392156862,0.5650980392156862,0.5650980392156862,0.0,0.0,0.0,0.1345454545454545,0.1345454545454545,0.1345454545454545,0.0,0.0,0.0,1.6952941176470588,0.4036363636363637,35,0
118,121,07/03/2023,0.4279951593384429,0.3534777651083238,3508,2479,0,0,0,0,1,0,1,0,1,1,0.3174667204517951,0.0,0.3174667204517951,0.0,0.4134731746672045,0.4134731746672045,0.3534777651083238,0.0,0.3534777651083238,0.0,0.1259977194982896,0.1259977194982896,1.4618797902379992,0.958950969213227,36,1
119,122,12/04/2023,0.7123840258168617,0.3816989737742303,3508,2479,0,0,0,0,1,0,1,-1,1,1,0.3174667204517951,0.0,0.3174667204517951,0.5465913674868899,0.4134731746672045,0.4134731746672045,0.3534777651083238,0.0,0.3534777651083238,0.3808437856328392,0.1259977194982896,0.1259977194982896,0.9152884227511092,0.5781071835803877,36,0
120,123,12/04/2023 ,0.7123840258168617,0.3816989737742303,3508,2479,0,0,0,0,1,0,1,-1,1,1,0.3174667204517951,0.0,0.3174667204517951,0.5465913674868899,0.4134731746672045,0.4134731746672045,0.3534777651083238,0.0,0.3534777651083238,0.3808437856328392,0.1259977194982896,0.1259977194982896,0.9152884227511092,0.5781071835803877,36,0
121,92,1-feb-23 ,0.8176684146833401,0.0707762557077625,3504,2479,0,0,0,0,1,1,1,0,1,1,0.6232351754739814,0.6232351754739814,0.6232351754739814,0.0,0.6421944332392093,0.6421944332392093,0.0465182648401826,0.0465182648401826,0.0465182648401826,0.0,0.0707762557077625,0.0707762557077625,3.154094392900363,0.281107305936073,38,1
